year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Rural regions,Owner,6 rooms,0.13841,143,997,0.11696,0.15986
1997,Rural regions,Owner,7 rooms,0.06033,66,997,0.04554,0.07511
1997,Rural regions,Owner,8 rooms,0.03960,39,997,0.02749,0.05172
1997,Rural regions,Tenant,1 room,0.06045,59,1143,0.04663,0.07427
1997,Rural regions,Tenant,2 rooms,0.31797,305,1143,0.29096,0.34498
1997,Rural regions,Tenant,3 rooms,0.39082,504,1143,0.36252,0.41912
1997,Rural regions,Tenant,4 rooms,0.15232,217,1143,0.13148,0.17316
1997,Rural regions,Tenant,5 rooms,0.04421,58,1143,0.03229,0.05613
1998,Urban regions,Owner,2 rooms,0.07607,92,1636,0.06321,0.08892
1998,Urban regions,Owner,3 rooms,0.19928,314,1636,0.17992,0.21865
1998,Urban regions,Owner,4 rooms,0.28062,488,1636,0.25884,0.30240
1998,Urban regions,Owner,5 rooms,0.18988,341,1636,0.17086,0.20889
1998,Urban regions,Owner,6 rooms,0.13781,255,1636,0.12110,0.15452
1998,Urban regions,Owner,7 rooms,0.05992,93,1636,0.04842,0.07143
1998,Urban regions,Owner,8 rooms,0.02706,53,1636,0.01919,0.03493
1998,Urban regions,Tenant,1 room,0.08083,199,3214,0.07140,0.09025
1998,Urban regions,Tenant,2 rooms,0.33038,908,3214,0.31411,0.34664
1998,Urban regions,Tenant,3 rooms,0.39548,1381,3214,0.37857,0.41238
1998,Urban regions,Tenant,4 rooms,0.13716,540,3214,0.12527,0.14906
1998,Urban regions,Tenant,5 rooms,0.03655,133,3214,0.03006,0.04303
1998,Urban regions,Tenant,6 rooms,0.01450,53,3214,0.01037,0.01864
1998,Rural regions,Owner,2 rooms,0.04532,53,1182,0.03346,0.05718
1998,Rural regions,Owner,3 rooms,0.17800,202,1182,0.15619,0.19982
1998,Rural regions,Owner,4 rooms,0.27780,332,1182,0.25225,0.30334
