year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
2003,66 und älter,middle vocational,Taeglich,0.0022802364000186143,27727,0.0017188022123532255,0.002841670587684003
2003,46-65 J.,vocational + Abi,Seltener,0.002140630089813393,27727,0.0015966160439009087,0.0026846441357258775
2003,30-45 J.,higher education,Taeglich,0.0018614174694029503,27727,0.0013540507871924062,0.0023687841516134944
2003,18-29 J.,in school,Min 1x pro Monat,0.0018614174694029503,27727,0.0013540507871924062,0.0023687841516134944
2003,30-45 J.,middle vocational,Nie,0.0018148820326678765,27727,0.0013138858969944478,0.0023158781683413053
2003,46-65 J.,inadequately,Min 1x pro Woche,0.0017683465959328027,27727,0.0012738036699645188,0.0022628895219010867
2003,66 und älter,vocational + Abi,Min 1x pro Monat,0.0017218111591977292,27727,0.0012338073854274599,0.0022098149329679985
2003,30-45 J.,inadequately,Min 1x pro Woche,0.001535669412257434,27727,0.0010747555452487192,0.001996583279266149
2003,66 und älter,vocational + Abi,Min 1x pro Woche,0.0014891339755223603,27727,0.0010352467979048087,0.0019430211531399118
2003,18-29 J.,higher vocational,Min 1x pro Monat,0.0014425985387872865,27727,0.0009958492275024056,0.0018893478500721674
2003,18-29 J.,vocational + Abi,Seltener,0.0012564567918469914,27727,0.000839486223488787,0.0016734273602051959
2003,46-65 J.,higher education,Taeglich,0.0012564567918469914,27727,0.000839486223488787,0.0016734273602051959
2003,30-45 J.,higher vocational,Taeglich,0.0012564567918469914,27727,0.000839486223488787,0.0016734273602051959
2003,46-65 J.,inadequately,Min 1x pro Monat,0.0012564567918469914,27727,0.000839486223488787,0.0016734273602051959
2003,66 und älter,general elemantary,Taeglich,0.001163385918376844,27727,0.0007621371074280456,0.0015646347293256425
2003,30-45 J.,general elemantary,Taeglich,0.001163385918376844,27727,0.0007621371074280456,0.0015646347293256425
2003,18-29 J.,inadequately,Min 1x pro Woche,0.000977244171436549,27727,0.0006094592965601906,0.0013450290463129073
2003,46-65 J.,general elemantary,Taeglich,0.0009307087347014751,27727,0.0005717790891289891,0.0012896383802739613
2003,66 und älter,vocational + Abi,Seltener,0.0009307087347014751,27727,0.0005717790891289891,0.0012896383802739613
2003,46-65 J.,higher vocational,Nie,0.0008841732979664014,27727,0.0005343238065033556,0.0012340227894294471
2003,46-65 J.,higher education,Nie,0.0008841732979664014,27727,0.0005343238065033556,0.0012340227894294471
2003,66 und älter,inadequately,Min 1x pro Monat,0.0008841732979664014,27727,0.0005343238065033556,0.0012340227894294471
2003,30-45 J.,inadequately,Seltener,0.0008376378612313277,27727,0.0004971114411016959,0.0011781642813609595
2003,66 und älter,higher education,Nie,0.0007911024244962539,27727,0.0004601625223103094,0.0011220423266821984
